stock_name,share_price,share_quantity,dividend,earnings,date
BHP,28.04,5071530817,0.2581,19530000000,24/04/2007 16:00:00
BHP,28.24,5071530817,0.2581,19530000000,26/04/2007 16:00:00
BHP,27.46,5071530817,0.2581,19530000000,27/04/2007 16:00:00
BHP,27.58,5071530817,0.2581,19530000000,30/04/2007 16:00:00
BHP,27.24,5071530817,0.2581,19530000000,01/05/2007 16:00:00
BHP,27.81,5071530817,0.2581,19530000000,02/05/2007 16:00:00
BHP,27.93,5071530817,0.2581,19530000000,03/05/2007 16:00:00
BHP,28.59,5071530817,0.2581,19530000000,04/05/2007 16:00:00
BHP,29.49,5071530817,0.2581,19530000000,07/05/2007 16:00:00
BHP,29.14,5071530817,0.2581,19530000000,08/05/2007 16:00:00
BHP,29.84,5071530817,0.2581,19530000000,09/05/2007 16:00:00
BHP,29.72,5071530817,0.2581,19530000000,10/05/2007 16:00:00
BHP,28.97,5071530817,0.2581,19530000000,11/05/2007 16:00:00
BHP,29.23,5071530817,0.2581,19530000000,14/05/2007 16:00:00
BHP,28.64,5071530817,0.2581,19530000000,15/05/2007 16:00:00
BHP,28.91,5071530817,0.2581,19530000000,16/05/2007 16:00:00
BHP,29.42,5071530817,0.2581,19530000000,17/05/2007 16:00:00
BHP,28.7,5071530817,0.2581,19530000000,18/05/2007 16:00:00
BHP,29.14,5071530817,0.2581,19530000000,21/05/2007 16:00:00
BHP,29.31,5071530817,0.2581,19530000000,22/05/2007 16:00:00
BHP,29.31,5071530817,0.2581,19530000000,23/05/2007 16:00:00
BHP,28.97,5071530817,0.2581,19530000000,24/05/2007 16:00:00
BHP,28.65,5071530817,0.2581,19530000000,25/05/2007 16:00:00
BHP,29.09,5071530817,0.2581,19530000000,28/05/2007 16:00:00
BHP,29.62,5071530817,0.2581,19530000000,29/05/2007 16:00:00
BHP,29.03,5071530817,0.2581,19530000000,30/05/2007 16:00:00
BHP,29.46,5071530817,0.2581,19530000000,31/05/2007 16:00:00
BHP,30.06,5071530817,0.2581,19530000000,01/06/2007 16:00:00
BHP,30.7,5071530817,0.2581,19530000000,04/06/2007 16:00:00
BHP,30.77,5071530817,0.2581,19530000000,05/06/2007 16:00:00
BHP,30.89,5071530817,0.2581,19530000000,06/06/2007 16:00:00
BHP,30.77,5071530817,0.2581,19530000000,07/06/2007 16:00:00
BHP,30.72,5071530817,0.2581,19530000000,08/06/2007 16:00:00
BHP,31.17,5071530817,0.2581,19530000000,12/06/2007 16:00:00
BHP,30.64,5071530817,0.2581,19530000000,13/06/2007 16:00:00
BHP,31.68,5071530817,0.2581,19530000000,14/06/2007 16:00:00
BHP,31.77,5071530817,0.2581,19530000000,15/06/2007 16:00:00
BHP,32.41,5071530817,0.2581,19530000000,18/06/2007 16:00:00
BHP,32.63,5071530817,0.2581,19530000000,19/06/2007 16:00:00
BHP,32.28,5071530817,0.2581,19530000000,20/06/2007 16:00:00
BHP,32.79,5071530817,0.2581,19530000000,21/06/2007 16:00:00
BHP,33.06,5071530817,0.2581,19530000000,22/06/2007 16:00:00
BHP,32.65,5071530817,0.2581,19530000000,25/06/2007 16:00:00
BHP,32.53,5071530817,0.2581,19530000000,26/06/2007 16:00:00
BHP,31.96,5071530817,0.2581,19530000000,27/06/2007 16:00:00
BHP,32.6,5071530817,0.2581,19530000000,28/06/2007 16:00:00
BHP,32.73,5071530817,0.2581,19530000000,29/06/2007 16:00:00
BHP,32.75,5071530817,0.2581,19530000000,02/07/2007 16:00:00
BHP,33.53,5071530817,0.2581,19530000000,03/07/2007 16:00:00
BHP,34.01,5071530817,0.2581,19530000000,04/07/2007 16:00:00
BHP,34.67,5071530817,0.2581,19530000000,05/07/2007 16:00:00
BHP,35.08,5071530817,0.2581,19530000000,06/07/2007 16:00:00
BHP,36.28,5071530817,0.2581,19530000000,09/07/2007 16:00:00
BHP,35.94,5071530817,0.2581,19530000000,10/07/2007 16:00:00
BHP,35.32,5071530817,0.2581,19530000000,11/07/2007 16:00:00
BHP,36.18,5071530817,0.2581,19530000000,12/07/2007 16:00:00
BHP,36.59,5071530817,0.2581,19530000000,13/07/2007 16:00:00
BHP,35.7,5071530817,0.2581,19530000000,16/07/2007 16:00:00
BHP,35.69,5071530817,0.2581,19530000000,17/07/2007 16:00:00
BHP,34.98,5071530817,0.2581,19530000000,18/07/2007 16:00:00
